Measure_Name,Staff_Number,Month,Passed_Count,Denominator
PUL03,21971,2017-12-01,12,12
PUL03,21972,2017-11-01,20,21
PUL03,21972,2017-12-01,20,21
PUL03,21973,2017-08-01,14,14
PUL03,21973,2017-09-01,11,11
PUL03,21973,2017-10-01,15,16
PUL03,21973,2017-11-01,15,16
PUL03,21974,2017-07-01,23,24
PUL03,21974,2017-10-01,17,17
PUL03,21974,2017-12-01,14,15
PUL03,21975,2017-09-01,20,21
PUL03,21976,2017-08-01,17,17
PUL03,21976,2017-09-01,11,12
PUL03,21976,2017-10-01,11,11
PUL03,21976,2017-11-01,9,11
PUL03,21976,2017-12-01,14,14
PUL03,21977,2017-07-01,10,12
PUL03,21977,2017-09-01,19,19
PUL03,21977,2017-10-01,11,13
PUL03,21977,2017-11-01,26,30
PUL03,21978,2017-07-01,15,15
PUL03,21978,2017-09-01,12,12
PUL03,21978,2017-11-01,10,10
PUL03,21978,2017-12-01,19,19
PUL03,21979,2017-07-01,22,22
PUL03,21979,2017-09-01,11,11
PUL03,21979,2017-10-01,13,14
PUL03,21979,2017-11-01,13,13
PUL03,21979,2017-12-01,15,15
PUL03,21980,2017-08-01,12,12
PUL03,21980,2017-10-01,19,19
PUL03,21980,2017-12-01,12,12
PUL03,21981,2017-07-01,15,15
PUL03,21981,2017-08-01,13,13
PUL03,21981,2017-12-01,16,16
PUL03,21982,2017-08-01,16,18
PUL03,21982,2017-11-01,12,13
PUL03,21982,2017-12-01,26,26
PUL03,21983,2017-08-01,20,20
PUL03,21983,2017-10-01,18,18
PUL03,21983,2017-11-01,10,10
PUL03,21983,2017-12-01,11,11
PUL03,21984,2017-07-01,16,16
PUL03,21984,2017-10-01,10,10
PUL03,21984,2017-11-01,16,16
PUL03,21984,2017-12-01,16,16
PUL03,21985,2017-09-01,21,22
PUL03,21985,2017-10-01,12,12
PUL03,21985,2017-11-01,17,17
PUL03,21985,2017-12-01,15,15
PUL03,21986,2017-07-01,22,22
PUL03,21986,2017-10-01,16,17
PUL03,21986,2017-11-01,11,11
PUL03,21987,2017-07-01,10,10
PUL03,21987,2017-11-01,22,22
PUL03,21988,2017-09-01,10,11
PUL03,21988,2017-10-01,14,16
PUL03,21988,2017-11-01,22,23
PUL03,21988,2017-12-01,16,21
PUL03,21989,2017-07-01,26,26
PUL03,21989,2017-10-01,15,15
PUL03,21989,2017-11-01,12,17
PUL03,21989,2017-12-01,21,23
PUL03,21990,2017-07-01,18,19
PUL03,21990,2017-08-01,23,24
PUL03,21990,2017-09-01,15,15
PUL03,21990,2017-11-01,11,11
PUL03,21990,2017-12-01,18,18
PUL03,21991,2017-07-01,23,23
PUL03,21991,2017-08-01,18,18
PUL03,21991,2017-09-01,20,23
PUL03,21991,2017-10-01,15,15
PUL03,21991,2017-12-01,9,10
PUL03,21996,2017-07-01,33,33
PUL03,21996,2017-08-01,21,21
PUL03,21996,2017-09-01,39,39
PUL03,21996,2017-10-01,21,21
PUL03,21996,2017-12-01,30,30
PUL03,21999,2017-09-01,17,17
PUL03,21999,2017-10-01,10,10
PUL03,21999,2017-11-01,11,12
PUL03,21999,2017-12-01,17,17
PUL03,22000,2017-10-01,12,12
PUL03,22000,2017-11-01,14,14
PUL03,22000,2017-12-01,14,15
PUL03,22001,2017-07-01,12,12
PUL03,22001,2017-08-01,15,15
PUL03,22001,2017-09-01,22,22
PUL03,22001,2017-10-01,28,28
PUL03,22002,2017-08-01,13,13
PUL03,22002,2017-12-01,17,17
PUL03,22003,2017-07-01,24,24
PUL03,22003,2017-08-01,13,15
PUL03,22003,2017-09-01,10,10
PUL03,22003,2017-10-01,10,10
PUL03,22003,2017-11-01,10,10
PUL03,22004,2017-07-01,19,19
PUL03,22004,2017-09-01,12,12
PUL03,22004,2017-12-01,11,11
PUL03,22005,2017-08-01,14,14
PUL03,22005,2017-09-01,10,10
PUL03,22005,2017-10-01,22,22
PUL03,22005,2017-12-01,11,11
PUL03,22006,2017-09-01,30,30
PUL03,22006,2017-10-01,24,25
PUL03,22006,2017-11-01,15,16
PUL03,22006,2017-12-01,17,20
PUL03,22007,2017-08-01,19,19
PUL03,22007,2017-09-01,11,11
PUL03,22007,2017-12-01,18,18
PUL03,22008,2017-08-01,12,12
PUL03,22008,2017-10-01,12,12
PUL03,22009,2017-07-01,27,28
PUL03,22009,2017-08-01,17,17
PUL03,22009,2017-10-01,21,21
PUL03,22010,2017-07-01,18,18
PUL03,22010,2017-08-01,11,11
PUL03,22010,2017-09-01,22,22
PUL03,22010,2017-10-01,12,12
PUL03,22010,2017-11-01,13,13
PUL03,22010,2017-12-01,23,26
PUL03,22011,2017-07-01,26,27
PUL03,22011,2017-09-01,10,12
PUL03,22011,2017-10-01,13,13
PUL03,22011,2017-11-01,9,10
PUL03,22011,2017-12-01,12,12
PUL03,22012,2017-10-01,10,10
PUL03,22012,2017-11-01,15,15
PUL03,22012,2017-12-01,12,12
PUL03,22013,2017-07-01,11,11
PUL03,22013,2017-10-01,18,18
PUL03,22013,2017-12-01,14,14
PUL03,22014,2017-07-01,20,20
PUL03,22014,2017-09-01,19,19
PUL03,22015,2017-07-01,17,17
PUL03,22015,2017-12-01,18,18
PUL03,22016,2017-07-01,14,16
PUL03,22016,2017-12-01,11,13
PUL03,22017,2017-08-01,27,27
PUL03,22017,2017-11-01,11,13
PUL03,22018,2017-07-01,17,18
PUL03,22018,2017-10-01,14,14
PUL03,22018,2017-11-01,13,13
PUL03,22018,2017-12-01,15,15
PUL03,22019,2017-07-01,19,19
PUL03,22019,2017-08-01,18,19
PUL03,22019,2017-09-01,15,15
PUL03,22019,2017-10-01,13,13
PUL03,22019,2017-11-01,21,21
PUL03,22020,2017-07-01,14,14
PUL03,22020,2017-08-01,11,11
PUL03,22020,2017-09-01,15,15
PUL03,22020,2017-10-01,13,13
PUL03,22022,2017-07-01,14,14
PUL03,22022,2017-09-01,14,14
PUL03,22022,2017-10-01,12,13
PUL03,22022,2017-12-01,10,11
PUL03,22023,2017-07-01,18,18
PUL03,22023,2017-09-01,15,15
PUL03,22023,2017-10-01,25,25
PUL03,22023,2017-11-01,33,33
PUL03,22024,2017-07-01,15,15
PUL03,22024,2017-08-01,16,16
PUL03,22024,2017-09-01,12,12
PUL03,22024,2017-11-01,12,14
PUL03,22024,2017-12-01,12,12
PUL03,22052,2017-07-01,29,29
PUL03,22052,2017-08-01,16,18
PUL03,22052,2017-09-01,11,11
PUL03,22052,2017-11-01,25,30
PUL03,22052,2017-12-01,11,12
PUL03,22081,2017-07-01,12,12
PUL03,22081,2017-08-01,15,19
PUL03,22081,2017-09-01,16,16
PUL03,22083,2017-07-01,17,17
PUL03,22083,2017-08-01,31,31
PUL03,22083,2017-09-01,15,15
PUL03,22083,2017-11-01,11,11
PUL03,22083,2017-12-01,10,10
PUL03,22099,2017-08-01,11,11
PUL03,22111,2017-07-01,19,21
PUL03,22111,2017-08-01,14,14
PUL03,22111,2017-09-01,13,13
PUL03,22111,2017-12-01,10,11
PUL03,22115,2017-07-01,14,14
PUL03,22115,2017-10-01,21,21
PUL03,22115,2017-11-01,15,16
PUL03,22125,2017-07-01,12,12
PUL03,22125,2017-08-01,32,32
PUL03,22125,2017-10-01,16,17
PUL03,22125,2017-12-01,11,12
PUL03,22164,2017-07-01,25,25
PUL03,22164,2017-08-01,10,10
PUL03,22164,2017-09-01,11,12
PUL03,22164,2017-10-01,19,19
PUL03,22164,2017-11-01,10,11
PUL03,22164,2017-12-01,13,14
PUL03,22165,2017-07-01,9,10
PUL03,22165,2017-08-01,21,21
PUL03,22166,2017-07-01,39,41
PUL03,22166,2017-08-01,51,53
PUL03,22166,2017-09-01,55,56
PUL03,22166,2017-10-01,49,49
PUL03,22166,2017-11-01,50,51
PUL03,22166,2017-12-01,67,71
PUL03,22167,2017-07-01,14,16
PUL03,22167,2017-09-01,9,11
PUL03,22167,2017-10-01,11,13
PUL03,22167,2017-11-01,17,19
PUL03,22167,2017-12-01,10,10
PUL03,22169,2017-07-01,26,26
PUL03,22169,2017-08-01,38,38
PUL03,22169,2017-09-01,12,13
PUL03,22169,2017-10-01,23,24
PUL03,22169,2017-11-01,17,18
PUL03,22170,2017-07-01,19,19
PUL03,22170,2017-08-01,24,25
PUL03,22170,2017-09-01,25,25
PUL03,22170,2017-10-01,18,18
PUL03,22170,2017-11-01,15,15
PUL03,22170,2017-12-01,14,14
PUL03,22171,2017-07-01,19,19
PUL03,22171,2017-08-01,27,27
PUL03,22171,2017-09-01,32,35
PUL03,22171,2017-10-01,15,15
PUL03,22171,2017-11-01,15,16
PUL03,22171,2017-12-01,36,36
PUL03,22172,2017-07-01,14,15
PUL03,22172,2017-08-01,19,20
PUL03,22172,2017-09-01,30,31
PUL03,22172,2017-10-01,25,25
PUL03,22172,2017-11-01,12,13
PUL03,22172,2017-12-01,15,16
PUL03,22173,2017-07-01,23,23
PUL03,22173,2017-08-01,24,25
PUL03,22173,2017-09-01,15,16
PUL03,22173,2017-10-01,21,21
PUL03,22173,2017-11-01,16,19
PUL03,22174,2017-07-01,32,32
PUL03,22174,2017-08-01,30,31
PUL03,22174,2017-09-01,19,20
PUL03,22174,2017-10-01,23,23
PUL03,22174,2017-11-01,19,21
PUL03,22174,2017-12-01,19,19
PUL03,22176,2017-07-01,10,10
PUL03,22176,2017-08-01,14,14
PUL03,22176,2017-09-01,24,24
PUL03,22176,2017-10-01,29,31
PUL03,22176,2017-11-01,20,23
PUL03,22176,2017-12-01,18,23
PUL03,22177,2017-07-01,26,26
PUL03,22177,2017-09-01,20,21
PUL03,22177,2017-10-01,15,16
PUL03,22177,2017-11-01,24,32
PUL03,22177,2017-12-01,10,14
PUL03,22178,2017-07-01,24,24
PUL03,22178,2017-09-01,15,16
PUL03,22178,2017-10-01,12,14
PUL03,22178,2017-11-01,12,15
PUL03,22178,2017-12-01,16,16
PUL03,22180,2017-07-01,32,33
PUL03,22180,2017-08-01,31,31
PUL03,22180,2017-09-01,14,14
PUL03,22180,2017-10-01,23,25
PUL03,22180,2017-11-01,14,14
PUL03,22180,2017-12-01,28,29
PUL03,22181,2017-07-01,25,28
PUL03,22181,2017-09-01,13,14
PUL03,22181,2017-10-01,25,26
PUL03,22181,2017-11-01,24,25
PUL03,22181,2017-12-01,8,17
PUL03,22182,2017-07-01,21,21
PUL03,22182,2017-08-01,24,24
PUL03,22182,2017-09-01,26,26
PUL03,22182,2017-10-01,20,21
PUL03,22182,2017-11-01,23,25
PUL03,22182,2017-12-01,22,23
PUL03,22185,2017-07-01,18,20
PUL03,22185,2017-08-01,18,18
PUL03,22185,2017-11-01,10,10
PUL03,22188,2017-08-01,17,17
PUL03,22188,2017-12-01,19,19
PUL03,22189,2017-07-01,24,24
PUL03,22189,2017-08-01,25,26
PUL03,22189,2017-09-01,13,14
PUL03,22189,2017-10-01,10,10
PUL03,22189,2017-11-01,25,25
PUL03,22189,2017-12-01,11,12
PUL03,22190,2017-08-01,26,26
PUL03,22190,2017-09-01,20,20
PUL03,22190,2017-10-01,13,13
PUL03,22190,2017-11-01,12,17
PUL03,22190,2017-12-01,14,15
PUL03,22191,2017-07-01,21,25
PUL03,22191,2017-08-01,14,19
PUL03,22191,2017-09-01,20,27
PUL03,22191,2017-10-01,15,16
PUL03,22191,2017-12-01,17,20
PUL03,22192,2017-07-01,16,16
PUL03,22192,2017-09-01,18,20
PUL03,22192,2017-10-01,23,23
PUL03,22192,2017-11-01,16,19
PUL03,22193,2017-07-01,14,14
PUL03,22193,2017-08-01,22,22
PUL03,22193,2017-09-01,10,10
PUL03,22193,2017-11-01,21,24
PUL03,22193,2017-12-01,14,16
PUL03,22194,2017-07-01,14,15
PUL03,22194,2017-08-01,18,19
PUL03,22194,2017-09-01,10,10
PUL03,22194,2017-11-01,15,15
PUL03,22195,2017-07-01,20,21
PUL03,22195,2017-08-01,16,16
PUL03,22195,2017-10-01,26,27
PUL03,22195,2017-11-01,20,20
PUL03,22195,2017-12-01,15,15
PUL03,22196,2017-08-01,9,12
PUL03,22196,2017-09-01,16,16
PUL03,22196,2017-10-01,30,30
PUL03,22196,2017-11-01,15,15
PUL03,22196,2017-12-01,28,29
PUL03,22197,2017-07-01,17,17
PUL03,22197,2017-08-01,24,27
PUL03,22197,2017-10-01,18,19
PUL03,22197,2017-12-01,15,15
PUL03,22199,2017-08-01,25,26
PUL03,22199,2017-09-01,23,23
PUL03,22199,2017-10-01,20,20
PUL03,22199,2017-12-01,18,18
PUL03,22200,2017-10-01,6,10
PUL03,22200,2017-12-01,8,10
PUL03,22229,2017-07-01,17,17
PUL03,22229,2017-08-01,25,25
PUL03,22229,2017-09-01,22,25
PUL03,22229,2017-10-01,34,35
PUL03,22229,2017-11-01,28,32
PUL03,22229,2017-12-01,19,20
PUL03,22231,2017-11-01,7,10
PUL03,22231,2017-12-01,10,11
PUL03,22274,2017-08-01,10,10
PUL03,22274,2017-10-01,11,11
PUL03,22274,2017-11-01,10,10
PUL03,22275,2017-07-01,15,17
PUL03,22275,2017-08-01,50,51
PUL03,22275,2017-09-01,28,28
PUL03,22275,2017-10-01,30,31
PUL03,22275,2017-11-01,20,21
PUL03,22275,2017-12-01,39,40
PUL03,22281,2017-07-01,32,33
PUL03,22281,2017-08-01,43,43
PUL03,22281,2017-09-01,35,36
PUL03,22281,2017-10-01,18,18
PUL03,22281,2017-11-01,16,16
PUL03,22281,2017-12-01,17,17
PUL03,22293,2017-07-01,28,28
PUL03,22293,2017-08-01,29,29
PUL03,22293,2017-09-01,18,18
PUL03,22293,2017-10-01,19,19
PUL03,22293,2017-11-01,21,23
PUL03,22293,2017-12-01,17,19
PUL03,22297,2017-08-01,8,10
PUL03,22297,2017-11-01,12,12
PUL03,22297,2017-12-01,16,17
PUL03,22299,2017-07-01,20,20
PUL03,22299,2017-08-01,15,15
PUL03,22299,2017-10-01,20,21
PUL03,22306,2017-08-01,14,15
PUL03,22325,2017-07-01,21,22
PUL03,22325,2017-08-01,18,18
PUL03,22325,2017-09-01,12,12
PUL03,22325,2017-12-01,18,18
PUL03,22326,2017-07-01,11,12
PUL03,22326,2017-08-01,12,14
PUL03,22326,2017-09-01,13,13
PUL03,22326,2017-10-01,16,18
PUL03,22326,2017-12-01,10,10
PUL03,22327,2017-07-01,9,11
PUL03,22327,2017-08-01,9,10
PUL03,22327,2017-09-01,11,11
PUL03,22327,2017-10-01,7,10
PUL03,22327,2017-11-01,14,21
PUL03,22327,2017-12-01,19,19
PUL03,22328,2017-07-01,14,14
PUL03,22328,2017-11-01,11,11
PUL03,22331,2017-07-01,18,18
PUL03,22331,2017-08-01,16,17
PUL03,22331,2017-09-01,19,19
PUL03,22331,2017-11-01,19,21
PUL03,22331,2017-12-01,11,12
PUL03,22369,2017-08-01,11,11
PUL03,22399,2017-10-01,19,20
PUL03,22404,2017-10-01,12,12
PUL03,22404,2017-11-01,21,29
PUL03,22404,2017-12-01,22,27
PUL03,22412,2017-11-01,11,14
PUL03,22412,2017-12-01,15,15
PUL03,22419,2017-12-01,13,13
PUL03,22420,2017-12-01,11,11
